step 1870/9201 (20.3%) | loss 1.8068 | lr 1.87e-04 | ETA 417.1min
step 1880/9201 (20.4%) | loss 1.9618 | lr 1.87e-04 | ETA 414.4min
step 1890/9201 (20.5%) | loss 1.9492 | lr 1.87e-04 | ETA 418.4min
step 1900/9201 (20.6%) | loss 1.9684 | lr 1.87e-04 | ETA 420.8min
step 1910/9201 (20.8%) | loss 1.6616 | lr 1.87e-04 | ETA 421.0min
step 1920/9201 (20.9%) | loss 1.9028 | lr 1.87e-04 | ETA 416.2min
step 1930/9201 (21.0%) | loss 2.0172 | lr 1.86e-04 | ETA 414.4min
step 1940/9201 (21.1%) | loss 1.8542 | lr 1.86e-04 | ETA 416.1min
step 1950/9201 (21.2%) | loss 1.8197 | lr 1.86e-04 | ETA 412.7min
step 1960/9201 (21.3%) | loss 1.9875 | lr 1.86e-04 | ETA 411.7min
step 1970/9201 (21.4%) | loss 1.9998 | lr 1.86e-04 | ETA 415.7min
step 1980/9201 (21.5%) | loss 2.0171 | lr 1.85e-04 | ETA 417.2min
step 1990/9201 (21.6%) | loss 1.8700 | lr 1.85e-04 | ETA 415.9min
step 2000/9201 (21.7%) | loss 1.8852 | lr 1.85e-04 | ETA 413.7min
eval loss: 1.8991
best model saved (loss=1.8991)
step 2010/9201 (21.8%) | loss 1.8516 | lr 1.85e-04 | ETA 405.1min
step 2020/9201 (22.0%) | loss 1.8841 | lr 1.85e-04 | ETA 413.3min
step 2030/9201 (22.1%) | loss 1.7387 | lr 1.84e-04 | ETA 413.1min
step 2040/9201 (22.2%) | loss 1.8817 | lr 1.84e-04 | ETA 411.4min
step 2050/9201 (22.3%) | loss 1.9521 | lr 1.84e-04 | ETA 407.4min
step 2060/9201 (22.4%) | loss 2.0497 | lr 1.84e-04 | ETA 406.5min
step 2070/9201 (22.5%) | loss 1.9639 | lr 1.84e-04 | ETA 405.8min
step 2080/9201 (22.6%) | loss 1.8920 | lr 1.84e-04 | ETA 408.0min
step 2090/9201 (22.7%) | loss 1.8068 | lr 1.83e-04 | ETA 409.3min
step 2100/9201 (22.8%) | loss 1.7623 | lr 1.83e-04 | ETA 408.1min
step 2110/9201 (22.9%) | loss 1.8855 | lr 1.83e-04 | ETA 406.4min
step 2120/9201 (23.0%) | loss 1.9317 | lr 1.83e-04 | ETA 404.5min
step 2130/9201 (23.1%) | loss 2.0188 | lr 1.83e-04 | ETA 404.1min
step 2140/9201 (23.3%) | loss 1.8762 | lr 1.82e-04 | ETA 403.4min
step 2150/9201 (23.4%) | loss 1.9897 | lr 1.82e-04 | ETA 400.9min
step 2160/9201 (23.5%) | loss 1.8512 | lr 1.82e-04 | ETA 405.5min
step 2170/9201 (23.6%) | loss 2.1179 | lr 1.82e-04 | ETA 404.9min
step 2180/9201 (23.7%) | loss 1.9025 | lr 1.81e-04 | ETA 403.4min
step 2190/9201 (23.8%) | loss 1.9511 | lr 1.81e-04 | ETA 396.5min
step 2200/9201 (23.9%) | loss 1.9983 | lr 1.81e-04 | ETA 399.6min
step 2210/9201 (24.0%) | loss 1.8238 | lr 1.81e-04 | ETA 398.5min
step 2220/9201 (24.1%) | loss 1.8304 | lr 1.81e-04 | ETA 393.9min
step 2230/9201 (24.2%) | loss 1.7701 | lr 1.80e-04 | ETA 396.4min
step 2240/9201 (24.3%) | loss 1.8587 | lr 1.80e-04 | ETA 400.1min
step 2250/9201 (24.5%) | loss 1.8511 | lr 1.80e-04 | ETA 401.6min
step 2260/9201 (24.6%) | loss 1.6846 | lr 1.80e-04 | ETA 397.6min
step 2270/9201 (24.7%) | loss 1.9463 | lr 1.80e-04 | ETA 395.0min
step 2280/9201 (24.8%) | loss 1.9608 | lr 1.79e-04 | ETA 396.7min
step 2290/9201 (24.9%) | loss 1.7548 | lr 1.79e-04 | ETA 392.8min
step 2300/9201 (25.0%) | loss 1.9329 | lr 1.79e-04 | ETA 397.9min
step 2310/9201 (25.1%) | loss 1.9338 | lr 1.79e-04 | ETA 398.2min
step 2320/9201 (25.2%) | loss 1.8968 | lr 1.78e-04 | ETA 398.4min
step 2330/9201 (25.3%) | loss 1.8535 | lr 1.78e-04 | ETA 396.6min
step 2340/9201 (25.4%) | loss 1.8356 | lr 1.78e-04 | ETA 387.8min
step 2350/9201 (25.5%) | loss 2.1113 | lr 1.78e-04 | ETA 390.5min
step 2360/9201 (25.6%) | loss 2.0104 | lr 1.78e-04 | ETA 388.7min
step 2370/9201 (25.8%) | loss 1.9187 | lr 1.77e-04 | ETA 388.2min
step 2380/9201 (25.9%) | loss 1.8266 | lr 1.77e-04 | ETA 393.0min
step 2390/9201 (26.0%) | loss 1.9228 | lr 1.77e-04 | ETA 393.8min
step 2400/9201 (26.1%) | loss 1.7584 | lr 1.77e-04 | ETA 392.8min
step 2410/9201 (26.2%) | loss 2.2064 | lr 1.76e-04 | ETA 388.8min
step 2420/9201 (26.3%) | loss 2.0135 | lr 1.76e-04 | ETA 386.4min
step 2430/9201 (26.4%) | loss 1.8802 | lr 1.76e-04 | ETA 386.7min
step 2440/9201 (26.5%) | loss 1.8381 | lr 1.76e-04 | ETA 388.1min
step 2450/9201 (26.6%) | loss 2.0511 | lr 1.75e-04 | ETA 389.2min
step 2460/9201 (26.7%) | loss 2.0036 | lr 1.75e-04 | ETA 390.8min
step 2470/9201 (26.8%) | loss 1.8582 | lr 1.75e-04 | ETA 388.0min
step 2480/9201 (27.0%) | loss 1.9524 | lr 1.75e-04 | ETA 382.5min
step 2490/9201 (27.1%) | loss 2.0986 | lr 1.75e-04 | ETA 382.3min
step 2500/9201 (27.2%) | loss 1.9856 | lr 1.74e-04 | ETA 380.5min
step 2510/9201 (27.3%) | loss 1.7646 | lr 1.74e-04 | ETA 383.4min
step 2520/9201 (27.4%) | loss 1.8585 | lr 1.74e-04 | ETA 385.0min
step 2530/9201 (27.5%) | loss 1.9878 | lr 1.74e-04 | ETA 387.3min
step 2540/9201 (27.6%) | loss 1.8782 | lr 1.73e-04 | ETA 383.2min
step 2550/9201 (27.7%) | loss 1.8259 | lr 1.73e-04 | ETA 378.3min
step 2560/9201 (27.8%) | loss 1.7550 | lr 1.73e-04 | ETA 377.8min
step 2570/9201 (27.9%) | loss 1.9890 | lr 1.73e-04 | ETA 377.3min
